Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg]
2442186000,-11.288847651307748,-33.660341822389505,-1113.6603418223895
2448184000,-8.618223609786085,-35.281994834718795,-1115.2819948347187
2454182000,-9.33533400493265,-41.47707041107781,-1121.4770704110779
2460180000,-9.310949149611469,-38.80190272929109,-1118.801902729291
2466178000,-9.87656815514593,-53.6802729189394,-1133.6802729189394
2472176000,-9.878711482133806,-40.504777743508065,-1120.5047777435082
2478174000,-8.999696872778312,-59.31298210151593,-1139.312982101516
2484172000,-10.01216466374839,-55.92041316528958,-1135.9204131652896
2490170000,-9.552688980225462,-53.905081573117194,-1133.9050815731173
2496168000,-11.255541328751521,-60.46962713070555,-1140.4696271307055
2502166000,-9.441902533269943,-75.12996350553024,-1155.1299635055302
2508164000,-9.635054578704189,-64.69564548172042,-1144.6956454817205
2514162000,-9.04083409442266,-62.87550984637536,-1142.8755098463753
2520160000,-8.283548880616996,-72.18224200700605,-1152.1822420070062
2526158000,-10.464993022397831,-67.16479367419271,-1147.1647936741927
