Input time stamp C1 (s),Input Angular Position C1 (rad),Output time stamp C1 (s),Output Angular Position C1 (rad),,Input time stamp C2 (s) ,Input Angular Position C2 (rad),Output time stamp C2 (s),Output Angular Position C2 (rad),,Input time stamp C3 (s) ,Input Angular Position C3 (rad),Output time stamp C3 (s),Output Angular Position C3 (rad)
2.86,6.2832,2.86,6.34462,,2.86,6.2832,2.86,6.34462,,2.86,18.6,2.86,18.0736
2.862,6.2832,2.862,6.34462,,2.862,6.2832,2.862,6.34462,,2.862,18.62,2.862,18.0951
2.864,6.2832,2.864,6.34462,,2.864,6.2832,2.864,6.34462,,2.864,18.64,2.864,18.1165
2.866,6.2832,2.866,6.34462,,2.866,6.2832,2.866,6.34462,,2.866,18.66,2.866,18.1349
2.868,6.2832,2.868,6.34462,,2.868,6.2832,2.868,6.34462,,2.868,18.68,2.868,18.1564
2.87,6.2832,2.87,6.34462,,2.87,6.2832,2.87,6.34462,,2.87,18.7,2.87,18.1779
2.872,6.2832,2.872,6.34462,,2.872,6.2832,2.872,6.34462,,2.872,18.72,2.872,18.1963
2.874,6.2832,2.874,6.34462,,2.874,6.2832,2.874,6.34462,,2.874,18.74,2.874,18.2178
2.876,6.2832,2.876,6.34462,,2.876,6.2832,2.876,6.34462,,2.876,18.76,2.876,18.2393
2.878,6.2832,2.878,6.34462,,2.878,6.2832,2.878,6.34462,,2.878,18.78,2.878,18.2577
2.88,6.2832,2.88,6.34462,,2.88,6.2832,2.88,6.34462,,2.88,18.8,2.88,18.2791
2.882,6.2832,2.882,6.34462,,2.882,6.2832,2.882,6.34462,,2.882,18.82,2.882,18.3006
2.884,6.2832,2.884,6.34462,,2.884,6.2832,2.884,6.34462,,2.884,18.84,2.884,18.3221
2.886,6.2832,2.886,6.34462,,2.886,6.2832,2.886,6.34462,,2.886,18.86,2.886,18.3405
2.888,6.2832,2.888,6.34462,,2.888,6.2832,2.888,6.34462,,2.888,18.88,2.888,18.362
2.89,6.2832,2.89,6.34462,,2.89,6.2832,2.89,6.34462,,2.89,18.9,2.89,18.3835
2.892,6.2832,2.892,6.34462,,2.892,6.2832,2.892,6.34462,,2.892,18.92,2.892,18.4049
2.894,6.2832,2.894,6.34462,,2.894,6.2832,2.894,6.34462,,2.894,18.94,2.894,18.4233
2.896,6.2832,2.896,6.34462,,2.896,6.2832,2.896,6.34462,,2.896,18.96,2.896,18.4448
2.898,6.2832,2.898,6.34462,,2.898,6.2832,2.898,6.34462,,2.898,18.98,2.898,18.4663
2.9,6.2832,2.9,6.34462,,2.9,6.2832,2.9,6.34462,,2.9,19,2.9,18.4847
2.902,6.2832,2.902,6.34462,,2.902,6.2832,2.902,6.34462,,2.902,19.02,2.902,18.5062
2.904,6.2832,2.904,6.34462,,2.904,6.2832,2.904,6.34462,,2.904,19.04,2.904,18.5277
2.906,6.2832,2.906,6.34462,,2.906,6.2832,2.906,6.34462,,2.906,19.06,2.906,18.5491
2.908,6.2832,2.908,6.34462,,2.908,6.2832,2.908,6.34462,,2.908,19.08,2.908,18.5706
2.91,6.2832,2.91,6.34462,,2.91,6.2832,2.91,6.34462,,2.91,19.1,2.91,18.5921
2.912,6.2832,2.912,6.34462,,2.912,6.2832,2.912,6.34462,,2.912,19.12,2.912,18.6105
2.914,6.2832,2.914,6.34462,,2.914,6.2832,2.914,6.34462,,2.914,19.14,2.914,18.632
2.916,6.2832,2.916,6.34462,,2.916,6.2832,2.916,6.34462,,2.916,19.16,2.916,18.6534
2.918,6.2832,2.918,6.34462,,2.918,6.2832,2.918,6.34462,,2.918,19.18,2.918,18.6749
2.92,6.2832,2.92,6.34462,,2.92,6.2832,2.92,6.34462,,2.92,19.2,2.92,18.6933
2.922,6.2832,2.922,6.34462,,2.922,6.2832,2.922,6.34462,,2.922,19.22,2.922,18.7148
2.924,6.2832,2.924,6.34462,,2.924,6.2832,2.924,6.34462,,2.924,19.24,2.924,18.7363
2.926,6.2832,2.926,6.34462,,2.926,6.2832,2.926,6.34462,,2.926,19.26,2.926,18.7578
2.928,6.2832,2.928,6.34462,,2.928,6.2832,2.928,6.34462,,2.928,19.28,2.928,18.7762
2.93,6.2832,2.93,6.34462,,2.93,6.2832,2.93,6.34462,,2.93,19.3,2.93,18.7976
2.932,6.2832,2.932,6.34462,,2.932,6.2832,2.932,6.34462,,2.932,19.32,2.932,18.8191
2.934,6.2832,2.934,6.34462,,2.934,6.2832,2.934,6.34462,,2.934,19.34,2.934,18.8406
2.936,6.2832,2.936,6.34462,,2.936,6.2832,2.936,6.34462,,2.936,19.36,2.936,18.859
2.938,6.2832,2.938,6.34462,,2.938,6.2832,2.938,6.34462,,2.938,19.38,2.938,18.8805
2.94,6.2832,2.94,6.34462,,2.94,6.2832,2.94,6.34462,,2.94,19.4,2.94,18.9019
2.942,6.2832,2.942,6.34462,,2.942,6.2832,2.942,6.34462,,2.942,19.42,2.942,18.9204
2.944,6.2832,2.944,6.34462,,2.944,6.2832,2.944,6.34462,,2.944,19.44,2.944,18.9418
2.946,6.2832,2.946,6.34462,,2.946,6.2832,2.946,6.34462,,2.946,19.46,2.946,18.9633
2.948,6.2832,2.948,6.34462,,2.948,6.2832,2.948,6.34462,,2.948,19.48,2.948,18.9817
2.95,6.2832,2.95,6.34462,,2.95,6.2832,2.95,6.34462,,2.95,19.5,2.95,19.0032
2.952,6.2832,2.952,6.34462,,2.952,6.2832,2.952,6.34462,,2.952,19.52,2.952,19.0247
2.954,6.2832,2.954,6.34462,,2.954,6.2832,2.954,6.34462,,2.954,19.54,2.954,19.0461
2.956,6.2832,2.956,6.34462,,2.956,6.2832,2.956,6.34462,,2.956,19.56,2.956,19.0646
2.958,6.2832,2.958,6.34462,,2.958,6.2832,2.958,6.34462,,2.958,19.58,2.958,19.086
2.96,6.2832,2.96,6.34462,,2.96,6.2832,2.96,6.34462,,2.96,19.6,2.96,19.1044
2.962,6.2832,2.962,6.34462,,2.962,6.2832,2.962,6.34462,,2.962,19.62,2.962,19.1259
2.964,6.2832,2.964,6.34462,,2.964,6.2832,2.964,6.34462,,2.964,19.64,2.964,19.1474
2.966,6.2832,2.966,6.34462,,2.966,6.2832,2.966,6.34462,,2.966,19.66,2.966,19.1658
2.968,6.2832,2.968,6.34462,,2.968,6.2832,2.968,6.34462,,2.968,19.68,2.968,19.1873
2.97,6.2832,2.97,6.34462,,2.97,6.2832,2.97,6.34462,,2.97,19.7,2.97,19.2057
2.972,6.2832,2.972,6.34462,,2.972,6.2832,2.972,6.34462,,2.972,19.72,2.972,19.2272
2.974,6.2832,2.974,6.34462,,2.974,6.2832,2.974,6.34462,,2.974,19.74,2.974,19.2456
2.976,6.2832,2.976,6.34462,,2.976,6.2832,2.976,6.34462,,2.976,19.76,2.976,19.267
2.978,6.2832,2.978,6.34462,,2.978,6.2832,2.978,6.34462,,2.978,19.78,2.978,19.2885
2.98,6.2832,2.98,6.34462,,2.98,6.2832,2.98,6.34462,,2.98,19.8,2.98,19.3069
2.982,6.2832,2.982,6.34462,,2.982,6.2832,2.982,6.34462,,2.982,19.82,2.982,19.3284
2.984,6.2832,2.984,6.34462,,2.984,6.2832,2.984,6.34462,,2.984,19.84,2.984,19.3468
2.986,6.2832,2.986,6.34462,,2.986,6.2832,2.986,6.34462,,2.986,19.86,2.986,19.3683
2.988,6.2832,2.988,6.34462,,2.988,6.2832,2.988,6.34462,,2.988,19.88,2.988,19.3867
2.99,6.2832,2.99,6.34462,,2.99,6.2832,2.99,6.34462,,2.99,19.9,2.99,19.4082
2.992,6.2832,2.992,6.34462,,2.992,6.2832,2.992,6.34462,,2.992,19.92,2.992,19.4266
2.994,6.2832,2.994,6.34462,,2.994,6.2832,2.994,6.34462,,2.994,19.94,2.994,19.4481
2.996,6.2832,2.996,6.34462,,2.996,6.2832,2.996,6.34462,,2.996,19.96,2.996,19.4665
2.998,6.2832,2.998,6.34462,,2.998,6.2832,2.998,6.34462,,2.998,19.98,2.998,19.4879
3,6.2832,3,6.34462,,3,6.2832,3,6.34462,,3,20,3,19.5063
3.002,6.2832,3.002,6.34462,,3.002,6.2832,3.002,6.34462,,3.002,20.02,3.002,19.5278
3.004,6.2832,3.004,6.34462,,3.004,6.2832,3.004,6.34462,,3.004,20.04,3.004,19.5462
3.006,6.2832,3.006,6.34462,,3.006,6.2832,3.006,6.34462,,3.006,20.06,3.006,19.5646
3.008,6.2832,3.008,6.34462,,3.008,6.2832,3.008,6.34462,,3.008,20.08,3.008,19.5861
3.01,6.2832,3.01,6.34462,,3.01,6.2832,3.01,6.34462,,3.01,20.1,3.01,19.6045
3.012,6.2832,3.012,6.34462,,3.012,6.2832,3.012,6.34462,,3.012,20.12,3.012,19.626
3.014,6.2832,3.014,6.34462,,3.014,6.2832,3.014,6.34462,,3.014,20.14,3.014,19.6444
3.016,6.2832,3.016,6.34462,,3.016,6.2832,3.016,6.34462,,3.016,20.16,3.016,19.6628
3.018,6.2832,3.018,6.34462,,3.018,6.2832,3.018,6.34462,,3.018,20.18,3.018,19.6843
3.02,6.2832,3.02,6.34462,,3.02,6.2832,3.02,6.34462,,3.02,20.2,3.02,19.7027
3.022,6.2832,3.022,6.34462,,3.022,6.2832,3.022,6.34462,,3.022,20.22,3.022,19.7242
3.024,6.2832,3.024,6.34462,,3.024,6.2832,3.024,6.34462,,3.024,20.24,3.024,19.7426
3.026,6.2832,3.026,6.34462,,3.026,6.2832,3.026,6.34462,,3.026,20.26,3.026,19.761
3.028,6.2832,3.028,6.34462,,3.028,6.2832,3.028,6.34462,,3.028,20.28,3.028,19.7825
3.03,6.2832,3.03,6.34462,,3.03,6.2832,3.03,6.34462,,3.03,20.3,3.03,19.8009
3.032,6.2832,3.032,6.34462,,3.032,6.2832,3.032,6.34462,,3.032,20.32,3.032,19.8193
3.034,6.2832,3.034,6.34462,,3.034,6.2832,3.034,6.34462,,3.034,20.34,3.034,19.8377
3.036,6.2832,3.036,6.34462,,3.036,6.2832,3.036,6.34462,,3.036,20.36,3.036,19.8592
3.038,6.2832,3.038,6.34462,,3.038,6.2832,3.038,6.34462,,3.038,20.38,3.038,19.8776
3.04,6.2832,3.04,6.34462,,3.04,6.2832,3.04,6.34462,,3.04,20.4,3.04,19.899
3.042,6.2832,3.042,6.34462,,3.042,6.2832,3.042,6.34462,,3.042,20.42,3.042,19.9175
3.044,6.2832,3.044,6.34462,,3.044,6.2832,3.044,6.34462,,3.044,20.44,3.044,19.9359
3.046,6.2832,3.046,6.34462,,3.046,6.2832,3.046,6.34462,,3.046,20.46,3.046,19.9573
3.048,6.2832,3.048,6.34462,,3.048,6.2832,3.048,6.34462,,3.048,20.48,3.048,19.9757
3.05,6.2832,3.05,6.34462,,3.05,6.2832,3.05,6.34462,,3.05,20.5,3.05,19.9942
3.052,6.2832,3.052,6.34462,,3.052,6.2832,3.052,6.34462,,3.052,20.52,3.052,20.0156
3.054,6.2832,3.054,6.34462,,3.054,6.2832,3.054,6.34462,,3.054,20.54,3.054,20.034
3.056,6.2832,3.056,6.34462,,3.056,6.2832,3.056,6.34462,,3.056,20.56,3.056,20.0524
3.058,6.2832,3.058,6.34462,,3.058,6.2832,3.058,6.34462,,3.058,20.58,3.058,20.0709
3.06,6.2832,3.06,6.34462,,3.06,6.2832,3.06,6.34462,,3.06,20.6,3.06,20.0923
3.062,6.2832,3.062,6.34462,,3.062,6.2832,3.062,6.34462,,3.062,20.62,3.062,20.1107
3.064,6.2832,3.064,6.34462,,3.064,6.2832,3.064,6.34462,,3.064,20.64,3.064,20.1291
3.066,6.2832,3.066,6.34462,,3.066,6.2832,3.066,6.34462,,3.066,20.66,3.066,20.1506
3.068,6.2832,3.068,6.34462,,3.068,6.2832,3.068,6.34462,,3.068,20.68,3.068,20.169
3.07,6.2832,3.07,6.34462,,3.07,6.2832,3.07,6.34462,,3.07,20.7,3.07,20.1874
3.072,6.2832,3.072,6.34462,,3.072,6.2832,3.072,6.34462,,3.072,20.72,3.072,20.2089
3.074,6.2832,3.074,6.34462,,3.074,6.2832,3.074,6.34462,,3.074,20.74,3.074,20.2273
3.076,6.2832,3.076,6.34462,,3.076,6.2832,3.076,6.34462,,3.076,20.76,3.076,20.2457
3.078,6.2832,3.078,6.34462,,3.078,6.2832,3.078,6.34462,,3.078,20.78,3.078,20.2641
3.08,6.2832,3.08,6.34462,,3.08,6.2832,3.08,6.34462,,3.08,20.8,3.08,20.2856
3.082,6.2832,3.082,6.34462,,3.082,6.2832,3.082,6.34462,,3.082,20.82,3.082,20.304
3.084,6.2832,3.084,6.34462,,3.084,6.2832,3.084,6.34462,,3.084,20.84,3.084,20.3224
3.086,6.2832,3.086,6.34462,,3.086,6.2832,3.086,6.34462,,3.086,20.86,3.086,20.3439
3.088,6.2832,3.088,6.34462,,3.088,6.2832,3.088,6.34462,,3.088,20.88,3.088,20.3623
3.09,6.2832,3.09,6.34462,,3.09,6.2832,3.09,6.34462,,3.09,20.9,3.09,20.3807
3.092,6.2832,3.092,6.34462,,3.092,6.2832,3.092,6.34462,,3.092,20.92,3.092,20.3991
3.094,6.2832,3.094,6.34462,,3.094,6.2832,3.094,6.34462,,3.094,20.94,3.094,20.4206
3.096,6.2832,3.096,6.34462,,3.096,6.2832,3.096,6.34462,,3.096,20.96,3.096,20.439
3.098,6.2832,3.098,6.34462,,3.098,6.2832,3.098,6.34462,,3.098,20.98,3.098,20.4605
3.1,6.2832,3.1,6.34462,,3.1,6.2832,3.1,6.34462,,3.1,21,3.1,20.4789
3.102,6.2832,3.102,6.34462,,3.102,6.2832,3.102,6.34462,,3.102,21.02,3.102,20.4973
3.104,6.2832,3.104,6.34462,,3.104,6.2832,3.104,6.34462,,3.104,21.04,3.104,20.5157
3.106,6.2832,3.106,6.34462,,3.106,6.2832,3.106,6.34462,,3.106,21.06,3.106,20.5372
3.108,6.2832,3.108,6.34462,,3.108,6.2832,3.108,6.34462,,3.108,21.08,3.108,20.5556
3.11,6.2832,3.11,6.34462,,3.11,6.2832,3.11,6.34462,,3.11,21.1,3.11,20.574
3.112,6.2832,3.112,6.34462,,3.112,6.2832,3.112,6.34462,,3.112,21.12,3.112,20.5955
3.114,6.2832,3.114,6.34462,,3.114,6.2832,3.114,6.34462,,3.114,21.14,3.114,20.6139
3.116,6.2832,3.116,6.34462,,3.116,6.2832,3.116,6.34462,,3.116,21.16,3.116,20.6323
3.118,6.2832,3.118,6.34462,,3.118,6.2832,3.118,6.34462,,3.118,21.18,3.118,20.6538
3.12,6.2832,3.12,6.34462,,3.12,6.2832,3.12,6.34462,,3.12,21.2,3.12,20.6722
3.122,6.2832,3.122,6.34462,,3.122,6.2832,3.122,6.34462,,3.122,21.22,3.122,20.6906
3.124,6.2832,3.124,6.34462,,3.124,6.2832,3.124,6.34462,,3.124,21.24,3.124,20.7121
3.126,6.2832,3.126,6.34462,,3.126,6.2832,3.126,6.34462,,3.126,21.26,3.126,20.7305
3.128,6.2832,3.128,6.34462,,3.128,6.2832,3.128,6.34462,,3.128,21.28,3.128,20.752
3.13,6.2832,3.13,6.34462,,3.13,6.2832,3.13,6.34462,,3.13,21.3,3.13,20.7704
3.132,6.2832,3.132,6.34462,,3.132,6.2832,3.132,6.34462,,3.132,21.32,3.132,20.7918
3.134,6.2832,3.134,6.34462,,3.134,6.2832,3.134,6.34462,,3.134,21.34,3.134,20.8102
3.136,6.2832,3.136,6.34462,,3.136,6.2832,3.136,6.34462,,3.136,21.36,3.136,20.8287
3.138,6.2832,3.138,6.34462,,3.138,6.2832,3.138,6.34462,,3.138,21.38,3.138,20.8501
