Time (s),Volt (V)
4.49E-06,9.90E-02
4.49E-06,9.80E-02
4.49E-06,1.01E-01
4.49E-06,1.00E-01
4.49E-06,9.70E-02
4.49E-06,9.70E-02
4.50E-06,9.70E-02
4.50E-06,9.85E-02
4.50E-06,9.85E-02
4.50E-06,1.02E-01
4.50E-06,1.01E-01
4.50E-06,9.85E-02
4.50E-06,9.65E-02
4.50E-06,1.00E-01
4.50E-06,9.75E-02
4.50E-06,9.80E-02
4.51E-06,9.80E-02
4.51E-06,9.45E-02
4.51E-06,9.60E-02
4.51E-06,9.90E-02
4.51E-06,9.85E-02
4.51E-06,9.65E-02
4.51E-06,9.70E-02
4.51E-06,9.95E-02
4.51E-06,1.03E-01
4.51E-06,1.01E-01
4.52E-06,9.85E-02
4.52E-06,9.85E-02
4.52E-06,9.65E-02
4.52E-06,9.85E-02
4.52E-06,9.95E-02
4.52E-06,1.00E-01
4.52E-06,9.85E-02
4.52E-06,9.85E-02
4.52E-06,9.90E-02
4.52E-06,9.95E-02
4.53E-06,9.65E-02
4.53E-06,9.70E-02
4.53E-06,9.55E-02
4.53E-06,9.80E-02
4.53E-06,9.85E-02
4.53E-06,9.65E-02
4.53E-06,9.65E-02
4.53E-06,9.65E-02
4.53E-06,9.45E-02
4.53E-06,9.65E-02
4.54E-06,9.70E-02
4.54E-06,9.80E-02
4.54E-06,1.01E-01
4.54E-06,9.85E-02
4.54E-06,9.85E-02
4.54E-06,9.65E-02
4.54E-06,9.70E-02
4.54E-06,9.65E-02
4.54E-06,9.70E-02
4.54E-06,9.80E-02
4.55E-06,9.70E-02
4.55E-06,9.65E-02
4.55E-06,9.80E-02
4.55E-06,1.00E-01
4.55E-06,1.00E-01
4.55E-06,9.85E-02
4.55E-06,1.01E-01
4.55E-06,1.03E-01
4.55E-06,1.01E-01
4.55E-06,9.85E-02
4.56E-06,9.75E-02
4.56E-06,9.65E-02
4.56E-06,9.60E-02
4.56E-06,9.65E-02
4.56E-06,9.85E-02
4.56E-06,1.01E-01
4.56E-06,1.03E-01
4.56E-06,9.90E-02
4.56E-06,9.85E-02
4.56E-06,9.95E-02
4.57E-06,1.00E-01
4.57E-06,1.01E-01
4.57E-06,1.01E-01
4.57E-06,1.00E-01
4.57E-06,9.90E-02
4.57E-06,1.00E-01
4.57E-06,1.02E-01
4.57E-06,1.01E-01
4.57E-06,9.70E-02
4.57E-06,9.65E-02
4.58E-06,1.01E-01
4.58E-06,1.01E-01
4.58E-06,9.80E-02
4.58E-06,9.60E-02
4.58E-06,9.65E-02
4.58E-06,9.70E-02
4.58E-06,9.70E-02
4.58E-06,9.65E-02
4.58E-06,9.65E-02
4.58E-06,9.85E-02
4.59E-06,9.70E-02
4.59E-06,9.85E-02
4.59E-06,1.00E-01
4.59E-06,1.00E-01
4.59E-06,9.85E-02
4.59E-06,9.85E-02
4.59E-06,9.85E-02
4.59E-06,9.70E-02
4.59E-06,9.80E-02
4.59E-06,1.02E-01
4.60E-06,1.00E-01
4.60E-06,1.00E-01
4.60E-06,9.70E-02
4.60E-06,9.50E-02
4.60E-06,9.60E-02
4.60E-06,9.95E-02
4.60E-06,9.85E-02
4.60E-06,9.65E-02
4.60E-06,9.80E-02
4.60E-06,9.80E-02
4.61E-06,9.70E-02
4.61E-06,9.65E-02
4.61E-06,9.65E-02
4.61E-06,9.85E-02
4.61E-06,1.01E-01
4.61E-06,1.00E-01
4.61E-06,9.85E-02
4.61E-06,1.00E-01
4.61E-06,1.00E-01
4.61E-06,9.75E-02
4.62E-06,9.70E-02
4.62E-06,9.80E-02
4.62E-06,9.85E-02
4.62E-06,9.85E-02
4.62E-06,9.85E-02
4.62E-06,9.65E-02
4.62E-06,1.00E-01
4.62E-06,1.01E-01
4.62E-06,9.75E-02
4.62E-06,9.80E-02
4.63E-06,1.00E-01
4.63E-06,9.65E-02
4.63E-06,9.65E-02
4.63E-06,9.80E-02
4.63E-06,9.85E-02
4.63E-06,9.80E-02
4.63E-06,9.75E-02
4.63E-06,9.80E-02
4.63E-06,9.85E-02
4.63E-06,9.85E-02
4.64E-06,9.65E-02
4.64E-06,9.95E-02
4.64E-06,9.85E-02
4.64E-06,9.85E-02
4.64E-06,9.90E-02
4.64E-06,9.85E-02
4.64E-06,9.65E-02
4.64E-06,9.75E-02
4.64E-06,9.70E-02
4.64E-06,9.45E-02
4.65E-06,9.45E-02
4.65E-06,9.50E-02
4.65E-06,9.50E-02
4.65E-06,9.95E-02
4.65E-06,1.01E-01
4.65E-06,9.85E-02
4.65E-06,9.70E-02
4.65E-06,9.95E-02
4.65E-06,1.01E-01
4.65E-06,9.65E-02
4.66E-06,9.50E-02
4.66E-06,9.65E-02
4.66E-06,9.65E-02
4.66E-06,9.45E-02
4.66E-06,9.30E-02
4.66E-06,9.60E-02
4.66E-06,9.70E-02
4.66E-06,9.65E-02
4.66E-06,9.70E-02
4.66E-06,9.85E-02
4.67E-06,9.80E-02
4.67E-06,9.95E-02
4.67E-06,9.85E-02
4.67E-06,9.80E-02
4.67E-06,9.70E-02
4.67E-06,9.70E-02
4.67E-06,9.70E-02
4.67E-06,9.65E-02
4.67E-06,9.80E-02
4.67E-06,9.85E-02
4.68E-06,9.65E-02
4.68E-06,9.60E-02
4.68E-06,9.45E-02
4.68E-06,9.50E-02
4.68E-06,9.70E-02
4.68E-06,9.50E-02
4.68E-06,9.45E-02
4.68E-06,9.80E-02
4.68E-06,9.85E-02
4.68E-06,9.80E-02
4.69E-06,9.70E-02
4.69E-06,9.85E-02
4.69E-06,9.85E-02
4.69E-06,9.80E-02
4.69E-06,9.85E-02
4.69E-06,9.85E-02
4.69E-06,1.00E-01
4.69E-06,1.00E-01
4.69E-06,1.01E-01
4.69E-06,1.01E-01
4.70E-06,9.90E-02
4.70E-06,1.00E-01
4.70E-06,9.85E-02
4.70E-06,1.00E-01
4.70E-06,9.70E-02
4.70E-06,9.65E-02
4.70E-06,9.60E-02
4.70E-06,9.85E-02
4.70E-06,9.85E-02
4.70E-06,9.85E-02
4.71E-06,1.00E-01
4.71E-06,1.00E-01
4.71E-06,9.90E-02
4.71E-06,9.85E-02
4.71E-06,9.50E-02
4.71E-06,9.50E-02
4.71E-06,9.65E-02
4.71E-06,9.80E-02
4.71E-06,9.50E-02
4.71E-06,9.45E-02
4.72E-06,9.65E-02
4.72E-06,1.00E-01
4.72E-06,9.70E-02
4.72E-06,9.85E-02
4.72E-06,9.55E-02
4.72E-06,9.60E-02
4.72E-06,9.80E-02
